text,orig_lang
"If life exists at all on Mars, it is most likely to be located underground where liquid water can still exist.",English
It involves computers learning from data provided so that they carry out certain tasks.,English
"[107][108] Other forms of ethical challenges, not related to personal biases, are more seen in health care.",English
Twenty four seven,English
Life in the 1500s - folk etymologies,English
Derring-do,English
Darby and Joan,English
The Crapper,English
More bang for your buck,English
Roasted to a turn,English
Biblical phrases,English
Put your back up,English
"""[191] A study of Wikipedia articles on cancer was conducted in 2010 by Yaacov Lawrence of the Kimmel Cancer Center at Thomas Jefferson University.",English
"In 2007, readers of brandchannel.com voted Wikipedia as the fourth-highest brand ranking, receiving 15 percent of the votes in answer to the question ""Which brand had the most impact on our lives in 2006?",English
"Approximately 71% of the Earth's surface (an area of some 361 million square kilometers) is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas.",English
Bald as a coot,English
Road apples,English
Bring home the bacon,English
Christmas box - A ,English
Slush fund,English
"When dealing with non-linear problems, go-to models include polynomial regression (for example, used for trendline fitting in Microsoft Excel[70]), logistic regression (often used in statistical classification) or even kernel regression, which introduces non-linearity by taking advantage of the kernel trick to implicitly map input variables to higher-dimensional space.",English
"[40] Wales disputed these claims in 2009, denying the decline and questioning the methodology of the study.",English
Whipper snapper,English
Physician heal thyself,English
"They include Bacteria, Fungi, Archaea, and Protista.",English
Bolt from the blue,English
Ticked off,English
Pulling one's leg,English
"[3][4] 
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[1] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.",English
"These robots use guidance mechanisms such as active learning, maturation, motor synergies and imitation.",English
Toe the line,English
High and mighty,English
Nth degree ,English
To a T,English
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English
Red sky at night ...,English
Shanks' mare/shanks' pony,English
Shakespeare (phrases and sayings of) ,English
On the ball,English
As dead as a doornail,English
"It reported that the proportion of the edits made from North America was 51% for the English Wikipedia, and 25% for the simple English Wikipedia.",English
Kick your heels,English
Dark horse,English
Far be it from me,English
Cherchez la femme,English
First water,English
Fuddy-duddy,English
Whipping boy,English
Rock and roll ,English
A fish rots from the head down ,English
Red-letter day,English
Stuff and nonsense,English
Weasel words,English
"It is a powerful tool we are only just beginning to understand, and that is a profound responsibility.”[100] Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set.",English
Know your onions,English
A piece of the action,English
"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English
Seven-year itch,English
"In 2011, Wales claimed that the unevenness of coverage is a reflection of the demography of the editors, citing for example ""biographies of famous women through history and issues surrounding early childcare"".",English
Dog days,English
[90] Language models learned from data have been shown to contain human-like biases.,English
"[54] In January 2013, 274301 Wikipedia, an asteroid, was named after Wikipedia; in October 2014, Wikipedia was honored with the Wikipedia Monument; and, in July 2015, 106 of the 7,473 700-page volumes of Wikipedia became available as Print Wikipedia.",English
Come clean,English
"But if the hypothesis is too complex, then the model is subject to overfitting and generalization will be poorer.",English
[87][88] Machine learning has been used as a strategy to update the evidence related to systematic review and increased reviewer burden related to the growth of biomedical literature.,English
Not a dicky-bird,English
Balance of trade - The,English
"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English
i screwed up i screwed it up if you want somebody to work instead of me you can say.,English
could you tell me what this word means?,English
"As a result, any article could contain inaccuracies such as errors, ideological biases, and nonsensical or irrelevant text.",English
"[214] Wikimedia Foundation spokesman Jay Walsh strongly rejected Sanger's accusation,[215] saying that Wikipedia did not have ""material we would deem to be illegal.",English
Beat a hasty retreat,English
(The whole) kit and caboodle,English
"Becoming a Wikipedia insider involves non-trivial costs: the contributor is expected to learn Wikipedia-specific technological codes, submit to a sometimes convoluted dispute resolution process, and learn a ""baffling culture rich with in-jokes and insider references"".",English
"[46] As of March 2020[update], Wikipedia has rank 13[3] among websites in terms of popularity according to Alexa Internet.",English
You can't get blood out of a stone,English
The mathematical expressions of the laws of physics employ a set of twenty physical constants[82] that appear to be static across the observable universe.,English
"This line, too, was continued outside the AI/CS field, as ""connectionism"", by researchers from other disciplines including Hopfield, Rumelhart and Hinton.",English
Go to hell in a handbasket,English
Flotsam and jetsam,English
The toast of the town,English
Method in my madness,English
Put a sock in it,English
Cleanliness is next to godliness,English
i'm afraid i do.,English
Blot on the landscape,English
[12] The moon formed roughly 20 million years later.,English
The collywobbles,English
The face that launched a thousand ships,English
A shot in the arm,English
Wolf in sheep's clothing,English
Speak of the Devil,English
The powers that be,English
Take the gilt off the gingerbread,English
"Characterizing the generalization of various learning algorithms is an active topic of current research, especially for deep learning algorithms.",English
Mal de mer,English
"[364] One of the most successful early online encyclopedias incorporating entries by the public was h2g2, which was created by Douglas Adams in 1999.",English
In the same boat ,English
With a few exceptions—most notably the two phyla consisting of sponges and placozoans—animals have bodies that are differentiated into tissues.,English
Bums on seats,English
[41] The structure and composition is determined by various environmental factors that are interrelated.,English
White elephant,English
"The article revealed that since 2007, Wikipedia had lost a third of its volunteer editors, and those still there have focused increasingly on minutiae.",English
Stone's throw,English
Red-handed (caught) ,English
Daft as a brush,English
Davy Jones' locker,English
Born within the sound of Bow Bells,English
"Therefore, the committee does not dictate the content of articles, although it sometimes condemns content changes when it deems the new content violates Wikipedia policies (for example, if the new content is considered biased).",English
Cut and run,English
One sandwich short of a picnic,English
A friend in need is a friend indeed,English
"The clearance of large tracts of land for crop growth has led to a significant reduction in the amount available of forestation and wetlands, resulting in the loss of habitat for many plant and animal species as well as increased erosion.",English
"As an example, for a classification algorithm that filters emails, the input would be an incoming email, and the output would be the name of the folder in which to file the email.",English
Prime time,English
"Heilman, who has participated in that process before, says 'less than one percent' of Wikipedia's medical articles have passed.",English
"It is one of the predictive modeling approaches used in statistics, data mining, and machine learning.",English
"Following protracted trials and community discussion, the English Wikipedia introduced the ""pending changes"" system in December 2012.",English
Excuse me while I kiss this guy,English
"[35][36][37]  In November 2009, a researcher at the Rey Juan Carlos University in Madrid found that the English Wikipedia had lost 49,000 editors during the first three months of 2009; in comparison, the project lost only 4,900 editors during the same period in 2008.",English
Back the field,English
Famous last words (the ironic phrase) ,English
Canterbury pace,English
The remainder is believed to consist of 26.8 percent cold dark matter and 68.3 percent dark energy.,English
[65] The resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer.,English
Blood toil tears and sweat,English
Self-learning as a machine learning paradigm was introduced in 1982 along with a neural network capable of self-learning named crossbar adaptive array (CAA).,English
A good man is hard to find,English
Various types of models have been used and researched for machine learning systems.,English
Compassion fatigue,English
It ain't over till the fat lady sings,English
Stand and deliver,English
Big fleas have little fleas upon their back to bite 'em,English
"If wishes were horses, beggars would ride",English
Double standard,English
Fairy-tale ending,English
Bold as brass,English
Fit as a fiddle,English
"Computer programs called bots have often been used to perform simple and repetitive tasks, such as correcting common misspellings and stylistic issues, or to start articles such as geography entries in a standard format from statistical data.",English
Woe is me,English
"Once more unto the breach, dear friends, once more",English
(On a) wing and a prayer,English
Shut your cake-hole,English
Fair play,English
Nest-egg,English
Under wraps,English
"[note 4][70] On most articles, anyone can undo others' changes by clicking a link on the article's history page.",English
GNE).,English
The license gained popularity among bloggers and others distributing creative works on the Web.,English
Lamb to the slaughter,English
so today we're going to learn 10 new smart words their meanings root words and example sentences so let's get going  hey everyone this is  and you're watching.,English
"With 6.2 million articles, the English Wikipedia is the largest of the 317 Wikipedia encyclopedias.",English
i'm going to laundry anyway.,English
"Everything2),[363] with many later being merged into the project (e.g.",English
Bread of life - The ,English
Wikipedia's initial anarchy integrated democratic and hierarchical elements over time.,English
Under your hat - Keep it ,English
"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English
Darkest hour - The ,English
A chain is only as strong as its weakest link,English
what do you say we go to the movies?,English
Many are called but few are chosen,English
Put your nose out of joint ,English
Bowled a maiden over,English
"can't help you there, sorry.",English
For ever and a day,English
Thus far into the bowels of the land,English
Fair and square,English
The call of the wild,English
Bodice ripper,English
Laurels - rest on one's ,English
Boys will be boys,English
Eaten out of house and home,English
Tissue of lies,English
Run out of steam,English
how about having pizza for dinner tonight?,English
"With the ozone layer absorbing harmful ultraviolet radiation, life colonized the surface of Earth.",English
[33] He also suggested the term data science as a placeholder to call the overall field.,English
As different as chalk and cheese,English
Piece of the action,English
On your beam ends,English
"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English
permission.,English
A countenance more in sorrow than in anger,English
The great unwashed,English
Thin air - Vanish into ,English
"Marry in haste, repent at leisure",English
Heads will roll,English
"To increase speed further, rendered pages are cached in a distributed memory cache until invalidated, allowing page rendering to be skipped entirely for most common page accesses.",English
Climate is a measure of the long-term trends in the weather.,English
A drop in the ocean,English
"One principal concern cited by The New York Times for the ""worry"" is for Wikipedia to effectively address attrition issues with the number of editors which the online encyclopedia attracts to edit and maintain its content in a mobile access environment.",English
Eye candy - see ear candy,English
Play it again Sam,English
"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English
Crack of doom - The ,English
this is a no-brainer means it's a really easy decision for you if you've done something wrong and you admit it you can say i screwed up yes guys.,English
Chip on your shoulder,English
[167] Editors of traditional reference works such as the Encyclopædia Britannica have questioned the project's utility and status as an encyclopedia.,English
"[115] The English Wikipedia has 6,238,672 articles, 40,838,998 registered editors, and 141,020 active editors.",English
Life's too short,English
Weakest link - A chain is only as strong as its ,English
"[269][270] Because Wikipedia content is distributed under an open license, anyone can reuse or re-distribute it at no charge.",English
"However, the fossil record retains evidence of many of these older species.",English
It's not rocket science,English
Nice kettle of fish,English
Cute as a bug's ear,English
interrupting politely.,English
"Anomalies are referred to as outliers, novelties, noise, deviations and exceptions.",English
Have an inkling,English
Caught in a cleft stick,English
Draw a blank,English
Gild the lily,English
The short end of the stick,English
To travel hopefully is a better thing than to arrive,English
you can just say no worries.,English
"''dare to know''), social networks have led to a culture of ""[d]are not to care to know"".",English
The weight increases or decreases the strength of the signal at a connection.,English
For good measure,English
"[180][181] Wales stresses that encyclopedias of any type are not usually appropriate to use as citable sources, and should not be relied upon as authoritative.",English
Foot of our stairs - The,English
Canteen culture,English
"[263] Because the two licenses, GFDL and Creative Commons, were incompatible, in November 2008, following the request of the project, the Free Software Foundation (FSF) released a new version of the GFDL designed specifically to allow Wikipedia to relicense its content to CC BY-SA by August 1, 2009.",English
Living daylights,English
Up the wooden hill to Bedfordshire,English
'Money' phrases,English
[89] Editors can enforce these rules by deleting or modifying non-compliant material.,English
"Even at the extremes, the amount of natural environment that is free of discernible human influence is diminishing at an increasingly rapid pace.",English
When pigs fly,English
"[331] The night of the ceremony, members of the Wikimedia Foundation held a meeting with Wikipedians from all parts of Spain, including the local Asturian community.",English
"There are also salt lakes, which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean.",English
"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English
Dance attendance on,English
Knee-jerk reaction,English
Fast and loose,English
Cliff-hanger,English
"can you speak a little more slowly, please?",English
Faff about,English
Boogie-woogie,English
do it some thanking you in advance.,English
Actions speak louder than words,English
Face the music,English
Blonde bombshell,English
very suave so smart word number four is atrocious atrocious the word atrocious means something really bad horrible terrible cruel appalling offensive atrocious has a latin root called .which means fear cruel or terrible some examples of the word atrocious are the recent rape incidents in delhi were atrocious or prisoners are treated.,English
In the limelight,English
"Statistical analyses suggest that the committee ignores the content of disputes and rather focuses on the way disputes are conducted,[104] functioning not so much to resolve disputes and make peace between conflicting editors, but to weed out problematic editors while allowing potentially productive editors back in to participate.",English
"Smaller regions of the oceans are called seas, gulfs, bays and other names.",English
Jack Palancing,English
Charley horse,English
Clog up,English
Riddle wrapped up in an enigma - A ,English
it sinks you say pull yourself together like literally take yourself and pull yourself together stop working stop crying pull yourself together.,English
and with that she got into his carriage and without even saying goodbye to her mother rode off with the angel as they were travelling the carriage suddenly entered a magical portal there it traveled through a stormy area the carriage bumped around tremendously and narcissa.,English
Heebie-jeebies - The ,English
Keep your chin up,English
You can catch more flies with honey than with vinegar,English
i agree with you 100%.,English
Attack is the best form of defence,English
if you want somebody just sound like crying and complaining about something that is not happening you can say come i'm you can do it i?,English
Elbow-grease,English
Many a true word is spoken in jest,English
Three strikes and you are out,English
"[66] In certain cases, all editors are allowed to submit modifications, but review is required for some editors, depending on certain conditions.",English
Keep your pecker up,English
Stick in the mud,English
how about some ice cream?,English
A rose by any other name would smell as sweet,English
"[10] In 2006, Time magazine stated that the open-door policy of allowing anyone to edit had made Wikipedia the biggest and possibly the best encyclopedia in the world, and was a testament to the vision of Jimmy Wales.",English
i've lost my phone and i'm in a fix or our bus broke down this morning and i'm in a fix my friend always turns to me for help when he's in a fix and when the going is good he forgets about.,English
Words ending in gry,English
[241] The feature was changed from opt-out to opt-in afterward.,English
 Give a wide berth,English
[206][207] His research examined the counterproductive work behavior of edit warring.,English
Peter out,English
"[31][32] Oceans hold 97% of surface water, glaciers, and polar ice caps 2.4%, and other land surface water such as rivers, lakes, and ponds 0.6%.",English
Titfer,English
(A) bigger bang for your buck,English
Penny saved is a penny earned - A ,English
Forlorn hope,English
Kennedy.,English
Whole-hearted,English
"[21] The domains wikipedia.com and wikipedia.org were registered on January 12, 2001,[22] and January 13, 2001,[23] respectively, and Wikipedia was launched on January 15, 2001,[14] as a single English-language edition at www.wikipedia.com,[24] and announced by Sanger on the Nupedia mailing list.",English
Good man is hard to find - A ,English
Rumpy-pumpy,English
"These form the primary communication channel for editors to discuss, coordinate and debate.",English
Morning person,English
[204] Data has also shown that Africa-related material often faces omission; a knowledge gap that a July 2018 Wikimedia conference in Cape Town sought to address.,English
Horse-sense,English
Go by the book,English
Woe betide you,English
Blue blood,English
"Due to the increasing popularity of Wikipedia, some editions, including the English version, have introduced editing restrictions for certain cases.",English
Technicolor yawn,English
Get the upper hand,English
Win one for the Gipper,English
Countenance more in sorrow than in anger - A ,English
Let sleeping dogs lie,English
Big Easy - The ,English
Kith and kin,English
An entity with these properties is generally considered life.,English
"[223] In 2014, a female editor who requested a separate space on Wikipedia to discuss improving civility had her proposal referred to by a male editor using the words ""the easiest way to avoid being called a cunt is not to act like one"".",English
Ne'er cast a clout till May be out,English
Wooden hill to Bedfordshire,English
Laid out in lavender,English
Keep your nose to the grindstone,English
Sex and shopping,English
"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English
Union Jack,English
Hocus pocus,English
Sacred cow,English
Spill the beans,English
Woman's place is in the home - A ,English
[96] Similar issues with recognizing non-white people have been found in many other systems.,English
Shall I compare thee to a summer's day?,English
Pie - as easy as ,English
"This marked a significant increase over January 2006, when the rank was number 33, with Wikipedia receiving around 18.3 million unique visitors.",English
As mad as a March hare,English
Daniel come to judgement,English
"AI can be well equipped in making decisions in certain fields such technical and scientific which rely
heavily on data and historical information.",English
Say goodnight Gracie,English
Touch and go,English
Nod is as good as a wink - A ,English
Below the belt,English
Binge drinking,English
71 percent of the Earth's surface is covered by salt-water oceans.,English
Hither and yon,English
"[69] Although changes are not systematically reviewed, the software that powers Wikipedia provides tools allowing anyone to review changes made by others.",English
Loaf of bread,English
Bang on about,English
let me think for a moment.,English
A thing of beauty is a joy forever,English
According to Hoyle,English
Devil's advocate,English
Camera cannot lie - The ,English
"Different clustering techniques make different assumptions on the structure of the data, often defined by some similarity metric and evaluated, for example, by internal compactness, or the similarity between members of the same cluster, and separation, the difference between clusters.",English
Some of this debris re-enters the atmosphere periodically.,English
(The) sky's the limit,English
can you cover me like can you work instead of me while i'm seeing my friend.,English
Tell me about it ,English
A little bird told me,English
"Through its ""Wikipedia Loves Libraries"" program, Wikipedia has partnered with major public libraries such as the New York Public Library for the Performing Arts to expand its coverage of underrepresented subjects and articles.",English
"[211][212] Sanger later clarified that the images, which were related to pedophilia and one about lolicon, were not of real children, but said that they constituted ""obscene visual representations of the sexual abuse of children"", under the PROTECT Act of 2003.",English
Zig-zag,English
"That's one small step for a man, a giant leap for mankind",English
Apple pie order,English
"He wrote in a message to the Wikimedia Foundation mailing-list that this action was ""in the interest of encouraging this discussion to be about real philosophical/content issues, rather than be about me and how quickly I acted"".",English
not much.,English
"oh that's lit and you probably heard it in songs that's lit if somebody is successful after failures, so you can say there you go i told you you're gonna make it there you go if somebody's asking you if you're tired and you want to say you're not tired at all you can say not a bit nah.",English
"When in Rome, do as the Romans do",English
Yellow Peril,English
[58] Three broad categories of anomaly detection techniques exist.,English
Vanish into thin air,English
"[28] Citing fears of commercial advertising and lack of control in Wikipedia, users of the Spanish Wikipedia forked from Wikipedia to create the Enciclopedia Libre in February 2002.",English
On the warpath,English
Reinforcement learning algorithms are used in autonomous vehicles or in learning to play a game against a human opponent.,English
"[19]:25 Machine learning (ML), reorganized as a separate field, started to flourish in the 1990s.",English
A fly in the ointment,English
Abandon all hope ye who enter here,English
"[111] As Wikipedia grew, ""Who writes Wikipedia?""",English
the economy has been very sluggish this year or the match picked up after a sluggish start.,English
"The site currently uses Lucene Search 2.1,[235][needs update] which is written in Java and based on Lucene library 2.3.",English
Al fresco,English
Keep your powder dry,English
By hook or by crook,English
Chinese whispers,English
A riddle wrapped up in an enigma,English
Bee in your bonnet,English
Foul play,English
i wasn't listening another phrase that i use all the time.,English
Go haywire ,English
In like Flynn,English
As X as Y,English
Hairy eyeball,English
Thing of beauty is a joy forever - A ,English
"[160] In addition to the point-for-point disagreement between these two parties, others have examined the sample size and selection method used in the Nature effort, and suggested a ""flawed study design"" (in Nature's manual selection of articles, in part or in whole, for comparison), absence of statistical analysis (e.g., of reported confidence intervals), and a lack of study ""statistical power"" (i.e., owing to small sample size, 42 or 4 × 101 articles compared, vs >105 and >106 set sizes for Britannica and the English Wikipedia, respectively).",English
Action man,English
Fool and his money are soon parted - A ,English
Ethnic cleansing,English
"There is huge potential for machine learning in health care to provide professionals a great tool to diagnose, medicate, and even plan recovery paths for patients, but this will not happen until the personal biases mentioned previously, and these ""greed"" biases are addressed.",English
The apple of my eye,English
Up the duff,English
Two heads are better than one,English
Grandfather clock,English
Hobby-horse,English
Jump on the bandwagon,English
"[236] In July 2013, after extensive beta testing, a WYSIWYG (What You See Is What You Get) extension, VisualEditor, was opened to public use.",English
In the club,English
Bottom-up,English
"The types of machine learning algorithms differ in their approach, the type of data they input and output, and the type of task or problem that they are intended to solve.",English
phrases if you have been learning english for a while and you want to resume learning.,English
"[43][241] The estimates for reinvestment by industrial organizations into internal research and development was studied by Adam Jaffe, who recorded that the range of 4% to 25% annually was to be recommended, with high-end technology requiring the higher level of support for internal reinvestment.",English
Raise Cain,English
Keep up with the Joneses,English
if that's really what you want then i'll take you home terrence took the crying and unhappy.,English
Pommy bashing,English
"Broke - if it ain't, don't fix it ",English
As thick as thieves,English
Whet your appetite,English
All publicity is good publicity,English
"no, you've done an amazing job.",English
"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English
Shaggy dog story,English
For the birds,English
"Much of the confusion between these two research communities (which do often have separate conferences and separate journals, ECML PKDD being a major exception) comes from the basic assumptions they work with: in machine learning, performance is usually evaluated with respect to the ability to reproduce known knowledge, while in knowledge discovery and data mining (KDD) the key task is the discovery of previously unknown knowledge.",English
"[250][needs update] As of 2019[update], page requests are first passed to a front-end layer of Varnish caching servers.",English
By the board,English
i'll be fine.,English
Swing the lead,English
Black as Newgate's knocker,English
"[302] During the COVID-19 pandemic, Wikipedia's coverage of the pandemic received international media attention, and brought an increase in Wikipedia readership overall.",English
Cut off your nose to spite your face,English
"[333] In an episode of the television comedy The Office U.S., which aired in April 2007, an incompetent office manager (Michael Scott) is shown relying on a hypothetical Wikipedia article for information on negotiation tactics to assist him in negotiating lesser pay for an employee.",English
My cup runneth over,English
Frog in the throat - A,English
Something nasty in the woodshed,English
"[193] Wikipedia seeks to create a summary of all human knowledge in the form of an online encyclopedia, with each topic covered encyclopedically in one article.",English
"People in many regions and countries take great pride in their individual arrays of characteristic flora, which can vary widely across the globe due to differences in climate and terrain.",English
"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English
Idioms quiz,English
The best  defense is a good offence,English
In spades,English
let me finish.,English
"While you live, tell truth and shame the Devil!",English
One hand washes the other,English
Indian giver,English
Regression analysis encompasses a large variety of statistical methods to estimate the relationship between input variables and their associated features.,English
High-flyer,English
Doff your hat,English
Know the ropes,English
Keep body and soul together,English
In someone's bad books,English
"""For God's sake, you're in college; don't cite the encyclopedia,"" he said.",English
"Outer space is sparsely filled with several dozen types of organic molecules discovered to date by microwave spectroscopy, blackbody radiation left over from the Big Bang and the origin of the universe, and cosmic rays, which include ionized atomic nuclei and various subatomic particles.",English
Without let or hindrance ,English
"O ye, of little faith",English
Elementary my dear Watson,English
"[110] By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI.",English
Latin Phrases,English
Hot off the press,English
Quantum leap,English
"In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model.",English
Baker's dozen,English
Plugged nickel,English
Bob's your uncle,English
Purple patch,English
Ill wind ,English
"[101] In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively.",English
"[121] According to a 2009 study, there is ""evidence of growing resistance from the Wikipedia community to new content"".",English
Hunt and peck,English
Knuckle under,English
A nation of shopkeepers,English
I see you stand like greyhounds in the slips,English
"The first of these was the 1986 BBC Domesday Project, which included text (entered on BBC Micro computers) and photographs from more than a million contributors in the UK, and covered the geography, art, and culture of the UK.",English
Some successful applications of deep learning are computer vision and speech recognition.,English
Cloud cuckoo land,English
Chickens come home to roost,English
Shebang - The whole ,English
Pin money,English
i'd love to do something but i can't.,English
"[57] In particular, in the context of abuse and network intrusion detection, the interesting objects are often not rare objects, but unexpected bursts of inactivity.",English
she thought herself too great to do any work many suitors came to ask for narcissus hand in marriage.,English
"In April 2019, an Israeli lunar lander, Beresheet, crash landed on the surface of the Moon carrying a copy of nearly all of the English Wikipedia engraved on thin nickel plates; experts say the plates likely survived the crash.",English
Hoi polloi,English
Mint condition,English
i cannot believe it you gotta be kidding me to tell somebody to smile and to be happy you can always say cheer up cheer up.,English
A hiding to nothing - On ,English
On the wagon,English
Khyber pass,English
Crown jewels,English
Battle royal,English
Minced words,English
Abide with me,English
The game is afoot,English
Half-cocked,English
"Don't call us, we'll call you",English
On queer street,English
"For example, Gboard uses federated machine learning to train search query prediction models on users' mobile phones without having to send individual searches back to Google.",English
Word in your shell-like - A ,English
Fight the good fight,English
Play the race card,English
Innocent until proven guilty,English
Woman needs a man like a fish needs a bicycle - A ,English
[291] Andrew Lih and Andrew Brown both maintain editing Wikipedia with smartphones is difficult and this discourages new potential contributors.,English
"[261] It covers news and events from the site, as well as major events from other Wikimedia projects, such as Wikimedia Commons.",English
The usual suspects,English
Money for old rope,English
Wet blanket,English
Anchors aweigh,English
Het up,English
[110] Wikipedia does not require that its editors and contributors provide identification.,English
[321] Active participation also has an impact.,English
Peg out,English
"""[8] The New York Times reports that Möller has assigned ""a team of 10 software developers focused on mobile"", out of a total of approximately 200 employees working at the Wikimedia Foundation.",English
Flogging a dead horse,English
"[339] On August 23, 2013, the New Yorker website published a cartoon with this caption: ""Dammit, Manning, have you considered the pronoun war that this is going to start on your Wikipedia page?",English
"[109] Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of non-linear hidden units.",English
Let bygones be bygones,English
Third degree - The ,English
hey guys welcome to my channel in this video.,English
New kid on the block,English
A little knowledge is a dangerous thing,English
Penny for your thoughts - A,English
The Devil is in the details,English
You can lead a horse to water but you can't make it drink,English
"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English
"i can say take care, which means take care of yourself.",English
"[118] Jimmy Wales stated in 2009 that ""[I]t turns out over 50% of all the edits are done by just .7% of the users ... 524 people ... And in fact, the most active 2%, which is 1400 people, have done 73.4% of all the edits.",English
"The latter is often extended by regularization (mathematics) methods to mitigate overfitting and bias, as in ridge regression.",English
"Despite the name, administrators are not supposed to enjoy any special privilege in decision-making; instead, their powers are mostly limited to making edits that have project-wide effects and thus are disallowed to ordinary editors, and to implement restrictions intended to prevent certain persons from making disruptive edits (such as vandalism).",English
[361] Several interactive multimedia encyclopedias incorporating entries written by the public existed long before Wikipedia was founded.,English
Dropping like flies,English
Take potluck ,English
An albatross around one's neck,English
"Signals travel from the first layer (the input layer) to the last layer (the output layer), possibly after traversing the layers multiple times.",English
"Animals are eukaryotic and usually multicellular (although see Myxozoa), which separates them from bacteria, archaea, and most protists.",English
"Ο Θεός να σε φυλά' απ' άλαλα παιδιά, κι' από φτωχή γης",Greek
Έγινε Τούρκος (άμα τ' άκουσε),Greek
Λόγια π' δε τα τρων μήτ' οι στσύλ' μήτ' οι κάτις,Greek
Σαράντα μύγες έκατσαν στον τσόκο του Κοράκη,Greek
Ο λύκος με μηνύματα δεν χορταινει,Greek
Μου άρεσε από μερικές από τις ερωτήσεις που άλλες λέξεις που μπορείτε να χρησιμοποιήσετε αντί για flummoxed είναι μπερδεμένοι ή αμηχανία έξυπνη λέξη αριθμός οκτώ είναι ραντεβού ραντεβού.,Greek
Ω Θεέ τζη Κρήτης πο' διάης κι' εκρύφτης;,Greek
Πηγαίνω σιγά σιγά γιατί βιάζομαι,Greek
Ο άη Γιώργη ο βούργαρος και σκορποφαμελίτης,Greek
Χαναναίος,Greek
Έγινε σαν κληματσίνα,Greek
Ο (δ)εμένος γά(δ)αρος πουλεί φα(γ)εί στον αξαπολυτόν,Greek
Δε σε κεφαλόκοβα πάρε σ' αφαλόκοβα!,Greek
"Τομ Μάρτην ξύλα φύλαε, μεγ κάψης τα παλλούτζια",Greek
"Το κοπελλομάθει, δεν το γεροντοξεχάνει",Greek
Το βιό παντρεύει κούτσουρα κι' αφίνει μαυρομάτες,Greek
Γέλασε και χαχάρισε σα κεφαλή ψημένη,Greek
"Να σε κερδαίνω τύμπανο, να σε χαρώ δερμάτι",Greek
"Εζεχτήσαν οι καρέττες, να παν να φέρουν την νύφφην",Greek
"Εκεί που δεν σε σπέρνουν, να μην φυτρώνης",Greek
Ξένουν ψουμίν δικόν του μαχαίριν,Greek
Γελά δ' ο μωρός κάντι μη γελοίον η,Greek
Ξέρ΄ ο σσύλος ποια εν η μάνα του,Greek
"Να σου πέσ' η γλώσσα κάλλια, πάρα να μαντέψης γκιόνη",Greek
Αν επορώ σο περβόλι σ' θήκω έναν λιθάρ,Greek
Πήες για μαμή τσ' έκατσες λεχούνα,Greek
"Ούτι η μλιά φλάει ούλα τα μήλα, ούτι η μάννα τα παιδιά",Greek
Όποια έχει πολύν πιπέριν ρίχνει και στη φακή,Greek
Κακό σκυλί ψόφο δεν έχ',Greek
Είναι όλο ζπούδια,Greek
"Η καλή 'μέρα, που το πορνό(ν) δείχνει",Greek
"Σά δεν έχ΄ς πανί να φάνεις, τα μασούρια τια τα βάνεις;",Greek
Κάθε αρνί απού τον ατσίποδα του θα κρεμαστή,Greek
"Π' αναγιωθή στηφ φυλακήν, της φυλακής θυμάται",Greek
Έρημος κόσμος στον' Άϊ -Γεώργη,Greek
Έχει δεμένη τη δουλειά του με τημ βαμβακερή κλωστή,Greek
"Αντί να σκούξη το γαϊδούρι, σκούζει το σαμάρι",Greek
